Reason,updated_reason,Slizovskiy_reason
Eval: Carcinoma,Uncategorized,
convenia Injection,Uncategorized,
samples,Uncategorized,
samples,Uncategorized,
samples,Uncategorized,
samples,Uncategorized,
samples,Uncategorized,
samples,Uncategorized,
"2 weeks old, not walking",Uncategorized,
Breathing heavy,Uncategorized,
Breathing heavy,Uncategorized,
Eval : second opinion : throat,Uncategorized,
Eval : second opinion : throat,Uncategorized,
Eval : second opinion : throat,Uncategorized,
Eval.  seen in ECC 10/17 ***ICU 10/20,Uncategorized,
Eval.  seen in ECC 10/17 ***ICU 10/20,Uncategorized,
Eval.  seen in ECC 10/17 ***ICU 10/20,Uncategorized,
Eval.  seen in ECC 10/17 ***ICU 10/20,Uncategorized,
Eval.  seen in ECC 10/17 ***ICU 10/20,Uncategorized,
Eval.  seen in ECC 10/17 ***ICU 10/20,Uncategorized,
Eval.  seen in ECC 10/17 ***ICU 10/20,Uncategorized,
Eval.  seen in ECC 10/17 ***ICU 10/20,Uncategorized,
Eval.  seen in ECC 10/17 ***ICU 10/20,Uncategorized,
Eval.  seen in ECC 10/17 ***ICU 10/20,Uncategorized,
Eval.  seen in ECC 10/17 ***ICU 10/20,Uncategorized,
Eval.  seen in ECC 10/17 ***ICU 10/20,Uncategorized,
Repeat rads of manible.,Uncategorized,
Repeat rads of manible.,Uncategorized,
Repeat rads of manible.,Uncategorized,
Repeat rads of manible.,Uncategorized,
cysto,Uncategorized,
cysto,Uncategorized,
kidney failure *ICU 10/26*,Uncategorized,
kidney failure *ICU 10/26*,Uncategorized,
kidney failure *ICU 10/26*,Uncategorized,
kidney failure *ICU 10/26*,Uncategorized,
kidney failure *ICU 10/26*,Uncategorized,
kidney failure *ICU 10/26*,Uncategorized,
kidney failure *ICU 10/26*,Uncategorized,
kidney failure *ICU 10/26*,Uncategorized,
Leg is bleeding *icu 10/25/18,Uncategorized,
Leg is bleeding *icu 10/25/18,Uncategorized,
Leg is bleeding *icu 10/25/18,Uncategorized,
diagnosed with kidney stones *ICU 10/24*,Uncategorized,Urinary Issues
Piroxicam Study,Uncategorized,
Piroxicam Study,Uncategorized,
Piroxicam Study,Uncategorized,
Piroxicam Study,Uncategorized,
Piroxicam Study,Uncategorized,
Coffin Bone Debridement,Uncategorized,
Coffin Bone Debridement,Uncategorized,
Possible Acute Kidney Failure *ICU 10/25*,Uncategorized,
Possible Acute Kidney Failure *ICU 10/25*,Uncategorized,
evaluate for c-section,Uncategorized,
Not feeling well,Uncategorized,
Not feeling well,Uncategorized,
"eval, lymphoid neoplasia",Uncategorized,
"eval, lymphoid neoplasia",Uncategorized,
"Needs sub, obstructed right side, enlarged kidney , possible kidney stone *icu 11/3*",Uncategorized,Urinary Issues
"Needs sub, obstructed right side, enlarged kidney , possible kidney stone *icu 11/3*",Uncategorized,Urinary Issues
Suspect Diabetic Ketoacidosis *ICU 10/31*,Uncategorized,
Suspect Diabetic Ketoacidosis *ICU 10/31*,Uncategorized,
kidney stones and blocked *ICU 10/31*,Uncategorized,Urinary Issues
kidney stones and blocked *ICU 10/31*,Uncategorized,Urinary Issues
kidney stones and blocked *ICU 10/31*,Uncategorized,Urinary Issues
kidney stones and blocked *ICU 10/31*,Uncategorized,Urinary Issues
kidney stones and blocked *ICU 10/31*,Uncategorized,Urinary Issues
kidney stones and blocked *ICU 10/31*,Uncategorized,Urinary Issues
seizure last night,Uncategorized,
seizure last night,Uncategorized,
Carries head low,Uncategorized,
Carries head low,Uncategorized,
Carries head low,Uncategorized,
Carries head low,Uncategorized,
Carries head low,Uncategorized,
Laceration,Uncategorized,
Laceration,Uncategorized,
rev exam w TPLO SX 10/29,Uncategorized,
Having trouble urinating *ICU 10/29*,Uncategorized,
Having trouble urinating *ICU 10/29*,Uncategorized,
Eval; PUPD,Uncategorized,
Eval; PUPD,Uncategorized,
"PT Acupuncture
",Uncategorized,
Loose feces,Uncategorized,
Loose feces,Uncategorized,
Loose feces,Uncategorized,
Loose feces,Uncategorized,
Loose feces,Uncategorized,
Loose feces,Uncategorized,
Loose feces,Uncategorized,
Loose feces,Uncategorized,
Loose feces,Uncategorized,
diaphermatic hernia *ICU-11/6*,Uncategorized,
diaphermatic hernia *ICU-11/6*,Uncategorized,
diaphermatic hernia *ICU-11/6*,Uncategorized,
Blockage *ICU 11/6*,Uncategorized,
Blockage *ICU 11/6*,Uncategorized,
Eval; limping RR leg,Uncategorized,
Eval; limping RR leg,Uncategorized,
Increased white cell count- abnormal chest rads,Uncategorized,
Increased white cell count- abnormal chest rads,Uncategorized,
Complications after surgery *ICU 11/8,Uncategorized,Post-surgical Care
needs seen for incurin refill,Uncategorized,
needs seen for incurin refill,Uncategorized,
difficulty breathing,Uncategorized,
HBC    **ICU: 11/14,Uncategorized,
HBC    **ICU: 11/14,Uncategorized,
HBC    **ICU: 11/14,Uncategorized,
HBC    **ICU: 11/14,Uncategorized,
"Eval; hives and scabbing - not responding to treatment, 3 mo history",Uncategorized,
"Eval; hives and scabbing - not responding to treatment, 3 mo history",Uncategorized,
"Eval; hives and scabbing - not responding to treatment, 3 mo history",Uncategorized,
Eval; suspected salivary mucocele,Uncategorized,
"eval, TECA right ear  *ICU-11/7*",Uncategorized,HEENT
"eval, TECA right ear  *ICU-11/7*",Uncategorized,HEENT
"eval, TECA right ear  *ICU-11/7*",Uncategorized,HEENT
"eval, TECA right ear  *ICU-11/7*",Uncategorized,HEENT
"eval, TECA right ear  *ICU-11/7*",Uncategorized,HEENT
Eval work up only,Uncategorized,
Eval work up only,Uncategorized,
hernia,Uncategorized,
hernia,Uncategorized,
"Eval; possible torn meniscus, right rear",Uncategorized,
d/o for sx per Chihocki     **ICU: 11/12,Uncategorized,
d/o for sx per Chihocki     **ICU: 11/12,Uncategorized,
REFERRAL: complications from surgery,Uncategorized,Post-surgical Care
REFERRAL: complications from surgery,Uncategorized,Post-surgical Care
REFERRAL: complications from surgery,Uncategorized,Post-surgical Care
REFERRAL: complications from surgery,Uncategorized,Post-surgical Care
REFERRAL: complications from surgery,Uncategorized,Post-surgical Care
REFERRAL: complications from surgery,Uncategorized,Post-surgical Care
eval possibly blocked,Uncategorized,
eval possibly blocked,Uncategorized,
county drop off (criminal case),Uncategorized,
county drop off (criminal case),Uncategorized,
county drop off (criminal case),Uncategorized,
county drop off (criminal case),Uncategorized,
county drop off (criminal case),Uncategorized,
county drop off (criminal case),Uncategorized,
"Return, getting worse *ICU11-13*",Uncategorized,
"Return, getting worse *ICU11-13*",Uncategorized,
"bruise and swollen on the leg with an open sore, getting worse",Uncategorized,
"bruise and swollen on the leg with an open sore, getting worse",Uncategorized,
reheck BP and UA,Uncategorized,
reheck BP and UA,Uncategorized,
Eval I-131,Uncategorized,
urinalaysis and culture,Uncategorized,
Enlarged teat,Uncategorized,
Enlarged teat,Uncategorized,
balloon valvuloplasty,Uncategorized,
Emergency for optho *icu 11/17/18,Uncategorized,
Emergency for optho *icu 11/17/18,Uncategorized,
Emergency for optho *icu 11/17/18,Uncategorized,
"eval, bilateral TECA, going on for 2 years **ICU 11/17",Uncategorized,HEENT
"eval, bilateral TECA, going on for 2 years **ICU 11/17",Uncategorized,HEENT
"eval, bilateral TECA, going on for 2 years **ICU 11/17",Uncategorized,HEENT
"eval, bilateral TECA, going on for 2 years **ICU 11/17",Uncategorized,HEENT
"eval, bilateral TECA, going on for 2 years **ICU 11/17",Uncategorized,HEENT
"eval, persistent otitis",Uncategorized,
"eval, persistent otitis",Uncategorized,
"eval, persistent otitis",Uncategorized,
"eval, persistent otitis",Uncategorized,
"eval, persistent otitis",Uncategorized,
"eval, persistent otitis",Uncategorized,
"eval, persistent otitis",Uncategorized,
"eval, persistent otitis",Uncategorized,
"eval, persistent otitis",Uncategorized,
"eval, persistent otitis",Uncategorized,
"eval, persistent otitis",Uncategorized,
"eval, persistent otitis",Uncategorized,
"hacking, seems disoriented",Uncategorized,
"hacking, seems disoriented",Uncategorized,
PT/Acupuncture,Uncategorized,
PT/Acupuncture,Uncategorized,
DOA,Uncategorized,
DOA,Uncategorized,
DOA,Uncategorized,
Fecal,Uncategorized,
Not doing well  *ICU 11/21,Uncategorized,
Respiratory distress *ICU 11/21*,Uncategorized,
Respiratory distress *ICU 11/21*,Uncategorized,
Respiratory distress *ICU 11/21*,Uncategorized,
Respiratory distress *ICU 11/21*,Uncategorized,
Respiratory distress *ICU 11/21*,Uncategorized,
Cultures,Uncategorized,
Cultures,Uncategorized,
Cultures,Uncategorized,
Cultures,Uncategorized,
Cultures,Uncategorized,
Cultures,Uncategorized,
Cultures,Uncategorized,
Cultures,Uncategorized,
Cultures,Uncategorized,
Cultures,Uncategorized,
REFERRAL: kidney issues *ICU 11/21*,Uncategorized,
REFERRAL: kidney issues *ICU 11/21*,Uncategorized,
Possible DOA,Uncategorized,
Possible DOA,Uncategorized,
Possible DOA,Uncategorized,
Urinating blood- diabetic,Uncategorized,
Urinating blood- diabetic,Uncategorized,
fell over suddenly   **ICU: 11/28,Uncategorized,
fell over suddenly   **ICU: 11/28,Uncategorized,
Referred from Chicago Med Vet *ICU 11/27*,Uncategorized,
Referred from Chicago Med Vet *ICU 11/27*,Uncategorized,
Blood Donation,Uncategorized,
Blood Donation,Uncategorized,
trouble walking,Uncategorized,
trouble walking,Uncategorized,
trouble walking,Uncategorized,
trouble walking,Uncategorized,
trouble walking,Uncategorized,
First Sub Flush with UA UC,Uncategorized,
First Sub Flush with UA UC,Uncategorized,
"eval, possible stones",Uncategorized,Urinary Issues
"eval, possible stones",Uncategorized,Urinary Issues
leaking,Uncategorized,
"eval, corkscrew tail surgery   **ICU: 11/30",Uncategorized,
"eval, corkscrew tail surgery   **ICU: 11/30",Uncategorized,
"eval, corkscrew tail surgery   **ICU: 11/30",Uncategorized,
"eval, corkscrew tail surgery   **ICU: 11/30",Uncategorized,
"eval, corkscrew tail surgery   **ICU: 11/30",Uncategorized,
D/O for CT scan,Uncategorized,
D/O for CT scan,Uncategorized,
"eval, eptopic ureter *poss eligable for Little's study!*",Uncategorized,
Ectopic Ureters,Uncategorized,
Ectopic Ureters,Uncategorized,
Ectopic Ureters,Uncategorized,
Ectopic Ureters,Uncategorized,
Ectopic Ureters,Uncategorized,
Ectopic Ureters,Uncategorized,
Ectopic Ureters,Uncategorized,
Ectopic Ureters,Uncategorized,
Ectopic Ureters,Uncategorized,
Ectopic Ureters,Uncategorized,
Canine degenerative myelopathy,Uncategorized,
Canine degenerative myelopathy,Uncategorized,
Canine degenerative myelopathy,Uncategorized,
Canine degenerative myelopathy,Uncategorized,
Vaccination rxn,Uncategorized,
Vaccination rxn,Uncategorized,
Vaccination rxn,Uncategorized,
Cultures,Uncategorized,
Cultures,Uncategorized,
Cultures,Uncategorized,
Cultures,Uncategorized,
chronic GI inflammation,Uncategorized,
chronic GI inflammation,Uncategorized,
chronic GI inflammation,Uncategorized,
UA and UC,Uncategorized,
UA and UC,Uncategorized,
Very Itchy,Uncategorized,
kidney issues *ICU 12/12*,Uncategorized,
kidney issues *ICU 12/12*,Uncategorized,
kidney issues *ICU 12/12*,Uncategorized,
kidney issues *ICU 12/12*,Uncategorized,
kidney issues *ICU 12/12*,Uncategorized,
kidney issues *ICU 12/12*,Uncategorized,
flu booster,Uncategorized,
GI Bleeding *ICU 12/11*,Uncategorized,
GI Bleeding *ICU 12/11*,Uncategorized,
Got hit by car,Uncategorized,
Got hit by car,Uncategorized,
Got hit by car,Uncategorized,
Got hit by car,Uncategorized,
Got hit by car,Uncategorized,
"Discharge, throwing up    **ICU: 12/13",Uncategorized,
"Discharge, throwing up    **ICU: 12/13",Uncategorized,
Possible Microalbuminuria,Uncategorized,
Possible Microalbuminuria,Uncategorized,
Down,Uncategorized,
Down,Uncategorized,
Down,Uncategorized,
Down,Uncategorized,
Down,Uncategorized,
Down,Uncategorized,
"Eval: Early renal failure, not critical",Uncategorized,
"Eval: Early renal failure, not critical",Uncategorized,
Eval : Ear polyp in the right ear,Uncategorized,
smelly poop,Uncategorized,
smelly poop,Uncategorized,
Urethral Stone,Uncategorized,Urinary Issues
Urethral Stone,Uncategorized,Urinary Issues
Eval FHO **ICU 12/16,Uncategorized,
Eval FHO **ICU 12/16,Uncategorized,
Eval FHO **ICU 12/16,Uncategorized,
TECA and debridement-right ear    **ICU: 12/24,Uncategorized,HEENT
TECA and debridement-right ear    **ICU: 12/24,Uncategorized,HEENT
TECA and debridement-right ear    **ICU: 12/24,Uncategorized,HEENT
TECA and debridement-right ear    **ICU: 12/24,Uncategorized,HEENT
TECA and debridement-right ear    **ICU: 12/24,Uncategorized,HEENT
DOA/ Necropsy,Uncategorized,
DOA/ Necropsy,Uncategorized,
DOA/ Necropsy,Uncategorized,
DOA/ Necropsy,Uncategorized,
DOA/ Necropsy,Uncategorized,
lump on neck,Uncategorized,
lump on neck,Uncategorized,
Hospitalized to get glucose under control,Uncategorized,
Hospitalized to get glucose under control,Uncategorized,
Necropsy - Insurance Great American,Uncategorized,
Necropsy - Insurance Great American,Uncategorized,
Necropsy - Insurance Great American,Uncategorized,
Necropsy - Insurance Great American,Uncategorized,
Labs,Uncategorized,
Labs,Uncategorized,
Cannot urinate,Uncategorized,
Cannot urinate,Uncategorized,
Cannot urinate,Uncategorized,
Cannot urinate,Uncategorized,
Cannot urinate,Uncategorized,
Cannot urinate,Uncategorized,
"eval, possible food sensitivites with pruritis",Uncategorized,
"eval, possible food sensitivites with pruritis",Uncategorized,
can't move front legs   **ICU: 12/28,Uncategorized,
can't move front legs   **ICU: 12/28,Uncategorized,
cultures,Uncategorized,
cultures,Uncategorized,
cultures,Uncategorized,
"cyst on paw, wont stop licking, has opened up",Uncategorized,
"cyst on paw, wont stop licking, has opened up",Uncategorized,
"cyst on paw, wont stop licking, has opened up",Uncategorized,
"cyst on paw, wont stop licking, has opened up",Uncategorized,
Acupuncture,Uncategorized,
Acupuncture,Uncategorized,
possible laser lithotripsy *Julie,Uncategorized,Urinary Issues
possible laser lithotripsy *Julie,Uncategorized,Urinary Issues
HBC      **ICU: 12/28,Uncategorized,
Pot Belly / breathing issues,Uncategorized,
Pot Belly / breathing issues,Uncategorized,
Pot Belly / breathing issues,Uncategorized,
Pot Belly / breathing issues,Uncategorized,
Not urinating,Uncategorized,
necropsy,Uncategorized,
necropsy,Uncategorized,
necropsy,Uncategorized,
spay incision has opened     **ICU: 12/28,Uncategorized,
spay incision has opened     **ICU: 12/28,Uncategorized,
spay incision has opened     **ICU: 12/28,Uncategorized,
Poof Trial,Uncategorized,
Poof Trial,Uncategorized,
"loosing weight, can't pass waste, has not been eating very much    **ICU: 12/31",Uncategorized,
"loosing weight, can't pass waste, has not been eating very much    **ICU: 12/31",Uncategorized,
"loosing weight, can't pass waste, has not been eating very much    **ICU: 12/31",Uncategorized,
"loosing weight, can't pass waste, has not been eating very much    **ICU: 12/31",Uncategorized,
"loosing weight, can't pass waste, has not been eating very much    **ICU: 12/31",Uncategorized,
"toe injured, oozing",Uncategorized,
"toe injured, oozing",Uncategorized,
"toe injured, oozing",Uncategorized,
Hot spot,Uncategorized,
HBC     **ICU: 1/4,Uncategorized,
HBC     **ICU: 1/4,Uncategorized,
HBC     **ICU: 1/4,Uncategorized,
Possible a urethral obstruction- not urinating or defacting,Uncategorized,Urinary Issues
Possible a urethral obstruction- not urinating or defacting,Uncategorized,Urinary Issues
Labs and poss. Abd tap,Uncategorized,
Labs and poss. Abd tap,Uncategorized,
Labs and poss. Abd tap,Uncategorized,
Vaccine Reaction,Uncategorized,
"eval, carpal arthodesis",Uncategorized,
Re Eval SUB and Azotemia,Uncategorized,
kidney stone refferred from alexandria *ICU 1/9*,Uncategorized,Urinary Issues
Eval for left cranial parathyroidectomy (SAM patient),Uncategorized,
Eval : Collapsing Trachea *ICU 1/9*,Uncategorized,
referral *ICU 1/15*,Uncategorized,
swollen face,Uncategorized,
Kidney issues,Uncategorized,
Kidney issues,Uncategorized,
Urinalysis,Uncategorized,
"consult for FIV+ and URI
Primary Care client - cel wants scheduled with woolcock",Uncategorized,
"consult for FIV+ and URI
Primary Care client - cel wants scheduled with woolcock",Uncategorized,
cultures,Uncategorized,
cultures,Uncategorized,
cultures,Uncategorized,
couldn't defecate ***ICU 1/12/19,Uncategorized,
couldn't defecate ***ICU 1/12/19,Uncategorized,
couldn't defecate ***ICU 1/12/19,Uncategorized,
foreign body,Uncategorized,
high sugar levels,Uncategorized,
high sugar levels,Uncategorized,
high sugar levels,Uncategorized,
high sugar levels,Uncategorized,
REFERRAL: unable to urinate,Uncategorized,
REFERRAL: unable to urinate,Uncategorized,
REFERRAL: unable to urinate,Uncategorized,
Eval : Extreme itching and ears swollen--on Apoquel,Uncategorized,
Eval : Extreme itching and ears swollen--on Apoquel,Uncategorized,
Eval : Extreme itching and ears swollen--on Apoquel,Uncategorized,
Eval : Extreme itching and ears swollen--on Apoquel,Uncategorized,
Eval : Extreme itching and ears swollen--on Apoquel,Uncategorized,
Eval : Extreme itching and ears swollen--on Apoquel,Uncategorized,
DOA,Uncategorized,
DOA,Uncategorized,
DOA,Uncategorized,
DOA,Uncategorized,
DOA,Uncategorized,
DOA,Uncategorized,
Ref for kidney issues *ICU 1/24,Uncategorized,
Ref for kidney issues *ICU 1/24,Uncategorized,
Vet wrap on leg that needs to be removed *ICU 1/16*,Uncategorized,
Vet wrap on leg that needs to be removed *ICU 1/16*,Uncategorized,
"Eval; ear polyp, left ear, outer ear has been removed",Uncategorized,
"Eval; ear polyp, left ear, outer ear has been removed",Uncategorized,
"unable to urinate - has 1"""""""""""""""" of urethra missing *ICU 1/17*",Uncategorized,
"unable to urinate - has 1"""""""""""""""" of urethra missing *ICU 1/17*",Uncategorized,
c-section,Uncategorized,
c-section,Uncategorized,
c-section,Uncategorized,
c-section,Uncategorized,
c-section,Uncategorized,
c-section,Uncategorized,
dummy foal,Uncategorized,
dummy foal,Uncategorized,
pyoderma study,Uncategorized,
Eval : Left ear otitis,Uncategorized,
Eval : Left ear otitis,Uncategorized,
"mummified fetus, trim feet",Uncategorized,
"mummified fetus, trim feet",Uncategorized,
"mummified fetus, trim feet",Uncategorized,
"mummified fetus, trim feet",Uncategorized,
Euthanasia,Uncategorized,
Euthanasia,Uncategorized,
urethral bulking,Uncategorized,Urinary Issues
urethral bulking,Uncategorized,Urinary Issues
Perforated intestine.,Uncategorized,
Perforated intestine.,Uncategorized,
eval- kidney dialysis possible hepto *ICU 2/14,Uncategorized,
eval- kidney dialysis possible hepto *ICU 2/14,Uncategorized,
Urinating blood.,Uncategorized,
Anxiety,Uncategorized,
Eval : Chronic Otitis R ear,Uncategorized,
Eval : Chronic Otitis R ear,Uncategorized,
Toe Amputation.... onco client *ICU/1-25,Uncategorized,
Toe Amputation.... onco client *ICU/1-25,Uncategorized,
Toe Amputation.... onco client *ICU/1-25,Uncategorized,
"eval, excessive drinking",Uncategorized,
"eval, excessive drinking",Uncategorized,
septic,Uncategorized,
septic,Uncategorized,
septic,Uncategorized,
septic,Uncategorized,
septic,Uncategorized,
Fluids: stent placement,Uncategorized,
Fluids: stent placement,Uncategorized,
exam,Uncategorized,
exam,Uncategorized,
exam,Uncategorized,
Cultures,Uncategorized,
Cultures,Uncategorized,
Cultures,Uncategorized,
Cultures,Uncategorized,
Cultures,Uncategorized,
Cultures,Uncategorized,
Cultures,Uncategorized,
Cultures,Uncategorized,
Cultures,Uncategorized,
Cultures,Uncategorized,
Cultures,Uncategorized,
Cultures,Uncategorized,
possible bowel blockage *ICU 1/31,Uncategorized,
possible bowel blockage *ICU 1/31,Uncategorized,
Eval: PSS *ICU 1/31,Uncategorized,
Eval: PSS *ICU 1/31,Uncategorized,
Anal- Vaginal Fistula,Uncategorized,
Anal- Vaginal Fistula,Uncategorized,
allergy testing,Uncategorized,
"Has PLE, wants to find out the cause *ICU 2/6",Uncategorized,
"Has PLE, wants to find out the cause *ICU 2/6",Uncategorized,
IVDD    **ICU: 2/9,Uncategorized,
IVDD    **ICU: 2/9,Uncategorized,
Eval : TECA   **ICU:  2/7,Uncategorized,HEENT
Eval : TECA   **ICU:  2/7,Uncategorized,HEENT
possible blasto resp distress,Uncategorized,
possible blasto resp distress,Uncategorized,
possible blasto resp distress,Uncategorized,
possible blasto resp distress,Uncategorized,
possible blasto resp distress,Uncategorized,
New eval,Uncategorized,
Possible F.B. -not eaten for 5 days.    **ICU: 2/8,Uncategorized,
Possible F.B. -not eaten for 5 days.    **ICU: 2/8,Uncategorized,
Possible F.B. -not eaten for 5 days.    **ICU: 2/8,Uncategorized,
Possible F.B. -not eaten for 5 days.    **ICU: 2/8,Uncategorized,
eval I-131,Uncategorized,
eval I-131,Uncategorized,
"swollen sheath, u/a",Uncategorized,
Eval: ectopic Ureter *ICU 2/8  Pay over phone Monday when lab goes in.,Uncategorized,
Eval: ectopic Ureter *ICU 2/8  Pay over phone Monday when lab goes in.,Uncategorized,
Eval: ectopic Ureter *ICU 2/8  Pay over phone Monday when lab goes in.,Uncategorized,
Eval: ectopic Ureter *ICU 2/8  Pay over phone Monday when lab goes in.,Uncategorized,
Suspecting LEPTO,Uncategorized,
Suspecting LEPTO,Uncategorized,
"Possible seizure, hypoglycemic",Uncategorized,
"Possible seizure, hypoglycemic",Uncategorized,
swollen L hock,Uncategorized,
swollen L hock,Uncategorized,
swollen L hock,Uncategorized,
acute renal failure  *ICU: 2/17,Uncategorized,
acute renal failure  *ICU: 2/17,Uncategorized,
UA,Uncategorized,
UA,Uncategorized,
"eval, excessive drinking and urination",Uncategorized,
"eval, excessive drinking and urination",Uncategorized,
"cystocentesis and rads
",Uncategorized,
"cystocentesis and rads
",Uncategorized,
REFERRAL: high white blood count *ICU 2/20,Uncategorized,
REFERRAL: high white blood count *ICU 2/20,Uncategorized,
Distal tail amputation,Uncategorized,
Distal tail amputation,Uncategorized,
CHF *ICU 2/21,Uncategorized,Cardiovascular Issues
CHF *ICU 2/21,Uncategorized,Cardiovascular Issues
CHF *ICU 2/21,Uncategorized,Cardiovascular Issues
CHF *ICU 2/21,Uncategorized,Cardiovascular Issues
CHF *ICU 2/21,Uncategorized,Cardiovascular Issues
Cultures,Uncategorized,
Cultures,Uncategorized,
Cultures,Uncategorized,
polyp excision w/ derm consult    **ICU: 2/21,Uncategorized,
polyp excision w/ derm consult    **ICU: 2/21,Uncategorized,
shockwave lithotripsy 2/19 *ICU 2/20,Uncategorized,Urinary Issues
shockwave lithotripsy 2/19 *ICU 2/20,Uncategorized,Urinary Issues
Shockwave lithotripsy 2/19 *ICU 2/21,Uncategorized,Urinary Issues
Shockwave lithotripsy 2/19 *ICU 2/21,Uncategorized,Urinary Issues
Meds-SAR,Uncategorized,
Meds-SAR,Uncategorized,
Meds-SAR,Uncategorized,
Meds-SAR,Uncategorized,
anal gland issues,Uncategorized,
anal gland issues,Uncategorized,
Referred for abdominal ultrasound *ICU 3/13,Uncategorized,Gastrointestinal_Abdominal Issues
Referred for abdominal ultrasound *ICU 3/13,Uncategorized,Gastrointestinal_Abdominal Issues
Referred for abdominal ultrasound *ICU 3/13,Uncategorized,Gastrointestinal_Abdominal Issues
Referred for abdominal ultrasound *ICU 3/13,Uncategorized,Gastrointestinal_Abdominal Issues
Referred for abdominal ultrasound *ICU 3/13,Uncategorized,Gastrointestinal_Abdominal Issues
Referred for abdominal ultrasound *ICU 3/13,Uncategorized,Gastrointestinal_Abdominal Issues
Referred for abdominal ultrasound *ICU 3/13,Uncategorized,Gastrointestinal_Abdominal Issues
Referred for abdominal ultrasound *ICU 3/13,Uncategorized,Gastrointestinal_Abdominal Issues
Referred for abdominal ultrasound *ICU 3/13,Uncategorized,Gastrointestinal_Abdominal Issues
Referred for abdominal ultrasound *ICU 3/13,Uncategorized,Gastrointestinal_Abdominal Issues
Referred for abdominal ultrasound *ICU 3/13,Uncategorized,Gastrointestinal_Abdominal Issues
Referred for abdominal ultrasound *ICU 3/13,Uncategorized,Gastrointestinal_Abdominal Issues
Referred for abdominal ultrasound *ICU 3/13,Uncategorized,Gastrointestinal_Abdominal Issues
Referred for abdominal ultrasound *ICU 3/13,Uncategorized,Gastrointestinal_Abdominal Issues
Referred for abdominal ultrasound *ICU 3/13,Uncategorized,Gastrointestinal_Abdominal Issues
seizure     **ICU: 2/21,Uncategorized,
seizure     **ICU: 2/21,Uncategorized,
Eval; discharge/draining from vulva,Uncategorized,
Eval; discharge/draining from vulva,Uncategorized,
"Kidney failure, elevated values *ICU 3/1",Uncategorized,
"Kidney failure, elevated values *ICU 3/1",Uncategorized,
"Kidney failure, elevated values *ICU 3/1",Uncategorized,
"Kidney failure, elevated values *ICU 3/1",Uncategorized,
"Kidney failure, elevated values *ICU 3/1",Uncategorized,
"Kidney failure, elevated values *ICU 3/1",Uncategorized,
Down in the hind end  *ICU/2-22,Uncategorized,
Down in the hind end  *ICU/2-22,Uncategorized,
Chronic right ear issue after having surgery 8/2018,Uncategorized,Post-surgical Care
Chronic right ear issue after having surgery 8/2018,Uncategorized,Post-surgical Care
Chronic right ear issue after having surgery 8/2018,Uncategorized,Post-surgical Care
d.o for BAL/trach wash,Uncategorized,
deep ear flush,Uncategorized,
deep ear flush,Uncategorized,
deep ear flush,Uncategorized,
deep ear flush,Uncategorized,
labwork,Uncategorized,
Lab,Uncategorized,
"eval, chronic rash on caudo ventral abd., had 2 neg cultures",Uncategorized,
"eval, chronic rash on caudo ventral abd., had 2 neg cultures",Uncategorized,
"eval, chronic rash on caudo ventral abd., had 2 neg cultures",Uncategorized,
"eval, intrahepatic shunt",Uncategorized,
"eval, intrahepatic shunt",Uncategorized,
Prolapsed uterus,Uncategorized,
"possible cervical IVDD, non-ambulatory    **ICU: 3/2",Uncategorized,
"eval, ataxia, holding urnine, only going SID",Uncategorized,
"eval, ataxia, holding urnine, only going SID",Uncategorized,
Respiratory distress,Uncategorized,
Respiratory distress,Uncategorized,
Respiratory distress,Uncategorized,
Cervical disc problems **ICU 3/3/19,Uncategorized,
Cervical disc problems **ICU 3/3/19,Uncategorized,
nasel flush and culture possible CT,Uncategorized,
blocked stone,Uncategorized,Urinary Issues
blocked stone,Uncategorized,Urinary Issues
blocked stone,Uncategorized,Urinary Issues
UC and UC,Uncategorized,
UC and UC,Uncategorized,
cultures,Uncategorized,
cultures,Uncategorized,
cultures,Uncategorized,
cultures,Uncategorized,
cultures,Uncategorized,
cultures,Uncategorized,
cultures,Uncategorized,
cultures,Uncategorized,
cultures,Uncategorized,
cultures,Uncategorized,
Emergency - Abdominal Exploratory,Uncategorized,Gastrointestinal_Abdominal Issues
"Eval THR, Drop off for surgery on Monday morning.",Uncategorized,
"Eval, Chylous Effusion",Uncategorized,
"Eval, Chylous Effusion",Uncategorized,
Culture,Uncategorized,
Eval: recurrent stranguria *ICU 3/7,Uncategorized,
Eval: recurrent stranguria *ICU 3/7,Uncategorized,
Eval: recurrent stranguria *ICU 3/7,Uncategorized,
Eval: recurrent stranguria *ICU 3/7,Uncategorized,
Eval: recurrent stranguria *ICU 3/7,Uncategorized,
Eval: recurrent stranguria *ICU 3/7,Uncategorized,
Eval for possible abdominal exploration surgery with cholecystectomy     **ICU: 3/13,Uncategorized,Gastrointestinal_Abdominal Issues
Eval for possible abdominal exploration surgery with cholecystectomy     **ICU: 3/13,Uncategorized,Gastrointestinal_Abdominal Issues
New : eval for recurring hepatic cyst *ICU 3/8,Uncategorized,
New : eval for recurring hepatic cyst *ICU 3/8,Uncategorized,
cultures,Uncategorized,
cultures,Uncategorized,
cultures,Uncategorized,
cultures,Uncategorized,
"eval, long history of papilloma on paw pad of left foot, celluitis/ abcessation",Uncategorized,
"eval, long history of papilloma on paw pad of left foot, celluitis/ abcessation",Uncategorized,
"eval poss internal malformations, anovulvar clefting; poss ct scan *Little's Study? *ICU 3/8",Uncategorized,
