Organism,Count,R,S,I,NI,NA_Count,Drug,Dominant_Category
BREVUNDIMONAS VESICULARIS,1,0,1,0,0,0,Imipenem,S
SALMONELLA SP. GROUP E1,38,0,6,0,0,32,Imipenem,S
STAPHYLOCOCCUS COAGULASE POSITIVE GROUP,8,0,5,0,0,3,Imipenem,S
RHODOCOCCUS EQUI,16,0,7,0,0,9,Imipenem,S
HAEMOPHILUS SP.,6,0,1,0,0,5,Imipenem,S
PSEUDOMONAS SP.,16,1,7,0,0,8,Imipenem,S
KLEBSIELLA PNEUMONIAE SS PNEUMONIAE,1,0,1,0,0,0,Imipenem,S
ACINETOBACTERER SP.,32,0,20,0,0,12,Imipenem,S
STREPTOCOCCUS BETA GROUP - B,16,0,12,0,0,4,Imipenem,S
STREPTOCOCCUS BETA GROUP - C,23,0,13,0,0,10,Imipenem,S
LACTOBACILLUS ACIDOPHILUS,1,0,1,0,0,0,Imipenem,S
CITROBACTER AMALONATICUS,4,0,1,0,0,3,Imipenem,S
AEROMONAS CAVIAE,6,0,2,0,0,4,Imipenem,S
STREPTOCOCCUS EQUI SSP EQUI,43,0,17,0,0,26,Imipenem,S
STREPTOCOCCUS DYS. SS EQUISIMILIS,14,0,11,0,0,3,Imipenem,S
ENTEROBACTER CLOACAE,136,0,48,0,0,88,Imipenem,S
STAPHYLOCOCCUS CHROMOGENES,5,0,1,0,0,4,Imipenem,S
BRANHAMELLA OVIS,1,0,0,0,0,1,Imipenem,Tie
STREPTOCOCCUS SUIS V,1,0,0,0,0,1,Imipenem,Tie
STENOTROPHOMONAS MALTOPHILIA,19,7,0,0,0,12,Imipenem,R
STAPHYLOCOCCUS SCHLEIFERI SS COAGULANS,9,1,7,0,0,1,Imipenem,S
ACHROMOBACTER SP.,2,0,2,0,0,0,Imipenem,S
CITROBACTER FREUNDII,18,0,9,0,0,9,Imipenem,S
ESCHERICHIA COLI- LACTOSE NEG.,1,0,0,0,0,1,Imipenem,Tie
PROVIDENCIA STUARTII,5,0,1,0,0,4,Imipenem,S
ACHROMOBACTER XYLO SS XYLOSOXIDANS,1,0,1,0,0,0,Imipenem,S
MYROIDES SP.,2,0,1,0,0,1,Imipenem,S
GRAMNEGATIVE ORGANISM,11,1,4,0,0,6,Imipenem,S
SALMONELLA SP. GROUP E4,3,0,1,0,0,2,Imipenem,S
GRAMPOSITIVE ROD,4,0,1,0,0,3,Imipenem,S
CRONOBACTER SAKAZAKII GROUP,1,0,1,0,0,0,Imipenem,S
NEISSERIA ANIMALORIS,9,0,3,0,0,6,Imipenem,S
STREPTOCOCCUS SP. - NON HEMOLYTIC,1,0,1,0,0,0,Imipenem,S
CORYNEBACTERIUM RENALE,1,0,0,0,0,1,Imipenem,Tie
TRUEPERELLA PYOGENES,64,0,0,0,0,64,Imipenem,Tie
ESCHERICHIA FERGUSONII,2,0,2,0,0,0,Imipenem,S
PANTOEA SP.,18,0,11,0,0,7,Imipenem,S
STAPHYLOCOCCUS SCHLEIFERI,116,1,3,0,0,112,Imipenem,S
STAPHYLOCOCCUS SP. COAG CULTURE NEGATIVE,1,1,0,0,0,0,Imipenem,R
ENTEROBACTER ASBURIAE,23,0,3,0,0,20,Imipenem,S
PSEUDOMONAS FLUORESCENS,2,0,2,0,0,0,Imipenem,S
STREPTOCOCCUS BETA HAEMOLYTIC,5,0,1,0,0,4,Imipenem,S
ENTEROBACTER CANCEROGENUS,1,0,1,0,0,0,Imipenem,S
STAPHYLOCOCCUS SCHLEIFERI SS SCHLEIFERI,1,0,1,0,0,0,Imipenem,S
STAPHYLOCOCCUS HYICUS,5,0,0,0,0,5,Imipenem,Tie
SERRATIA LIQUEFACIENS,2,0,1,0,0,1,Imipenem,S
BIBERSTEINIA TREHALOSI,12,0,0,0,0,12,Imipenem,Tie
STREPTOCOCCUS UBERIS,6,0,0,0,0,6,Imipenem,Tie
"STAPHYLOCOCCUS SCHLEIFERI, COAGULASE POSITIVE",2,0,1,0,0,1,Imipenem,S
CITROBACTER BRAAKII,5,0,4,0,0,1,Imipenem,S
ACTINOBACILLUS SP.,13,0,2,0,0,11,Imipenem,S
ENTEROBACTER AMNIGENUS,2,0,2,0,0,0,Imipenem,S
STAPHYLOCOCCUS INTERMEDIUS,10,0,8,0,0,2,Imipenem,S
STAPHYLOCOCCUS SCHLEIFERI - COAG POS,37,2,19,0,0,16,Imipenem,S
STAPHYLOCOCCUS SCHLEIFERI - COAG NEG,58,14,9,0,0,35,Imipenem,R
SALMONELLA SP.,81,0,4,0,0,77,Imipenem,S
COAGULASE NEATIVE STAPHYLOCOCCUS,1,1,0,0,0,0,Imipenem,R
SALMONELLA SP.(POLY A),6,0,1,0,0,5,Imipenem,S
RHIZOBIUM RADIOBACTER,3,0,1,0,0,2,Imipenem,S
KLUYVERA ASCORBATA,1,0,1,0,0,0,Imipenem,S
HAFNIA ALVEI,2,0,2,0,0,0,Imipenem,S
STAPHYLOCOCCUS SACCHAROLYTICUS,1,0,1,0,0,0,Imipenem,S
RAOULTELLA PLANTICOLA,1,0,1,0,0,0,Imipenem,S
COMAMONAS TESTOSTERONI,1,0,1,0,0,0,Imipenem,S
SERRATIA RUBIDAEA,1,0,1,0,0,0,Imipenem,S
CITROBACTER SP.,2,0,1,0,0,1,Imipenem,S
PEDIOCOCCUS SP.,1,0,1,0,0,0,Imipenem,S
ACTINOMYCES CANIS,20,0,7,0,0,13,Imipenem,S
GRAMPOSITIVE COCCUS,8,0,1,0,0,7,Imipenem,S
ROTHIA NASIMURIUM,14,0,5,0,0,9,Imipenem,S
STAPHYLOCOCCUS WARNERI,1,0,1,0,0,0,Imipenem,S
ACINETOBACTERER LWOFFI,4,0,2,0,0,2,Imipenem,S
MICROCOCCUS LUTEUS,14,0,3,0,0,11,Imipenem,S
STREPTOCOCCUS DYS SS DYSGALACTIAE,11,0,5,0,0,6,Imipenem,S
ACTINOBACILLUS UREAE,6,0,1,0,0,5,Imipenem,S
ENTEROCOCCUS CANINTESTINI,15,0,4,0,0,11,Imipenem,S
ENTEROCOCCUS CANIS,4,0,2,0,0,2,Imipenem,S
HISTOPHILUS SOMNI,7,0,0,0,0,7,Imipenem,Tie
CORYNEBACTERIUM AURISCANIS,72,2,2,0,0,68,Imipenem,Tie
BACILLUS CEREUS,20,0,7,0,0,13,Imipenem,S
STREPTOCOCCUS AGALACTIAE,10,0,2,0,0,8,Imipenem,S
NEISSERIA FLAVESCENS,2,0,1,0,0,1,Imipenem,S
ESCHERICHIA HERMANNII,3,0,2,0,0,1,Imipenem,S
HAEMOPHILUS HAEMOGLOBINOPHILUS,22,0,4,0,0,18,Imipenem,S
PASTEURELLA DAGMATIS,22,0,2,0,0,20,Imipenem,S
ACTINOMYCES SP.,22,0,3,1,0,18,Imipenem,S
MORAXELLA SPP,2,0,1,0,0,1,Imipenem,S
PSEUDOMONAS KOREENSIS,2,0,1,0,0,1,Imipenem,S
STREPTOCOCCUS PNEUMONIAE,10,0,0,0,1,9,Imipenem,NI
STREPTOCOCCUS SP.,17,0,2,0,0,15,Imipenem,S
SPHINGOMONAS PARAPAUCIMOBILIS,1,0,1,0,0,0,Imipenem,S
LISTERIA MONOCYTOGENES,2,0,0,0,0,2,Imipenem,Tie
BACILLUS LICHENIFORMIS,7,0,4,0,0,3,Imipenem,S
AEROMONAS HYDROPHILA SS HYDROPHILA,3,0,2,0,0,1,Imipenem,S
METHYLOBACTERIUM SP.,1,0,1,0,0,0,Imipenem,S
AEROMONAS SOBRIA,3,0,1,0,0,2,Imipenem,S
SHEWANELLA PUTREFACIENS,3,0,2,0,0,1,Imipenem,S
STREPTOCOCCUS DYSGALACTIAE,28,0,6,0,0,22,Imipenem,S
PASTEURELLA STOMATIS,4,0,1,0,0,3,Imipenem,S
ACINETOBACTERER BAUMANNII,10,0,2,0,0,8,Imipenem,S
CORYNEBACTERIUM PSEUDOTUBERCULOSIS,10,0,1,0,0,9,Imipenem,S
GALLIBACTERIUM ANATIS,1,0,1,0,0,0,Imipenem,S
MORAXELLA BOVIS,2,0,0,0,0,2,Imipenem,Tie
ENTEROBACTER SP.,22,0,1,0,0,21,Imipenem,S
AEROMONAS VERONII,5,0,1,0,0,4,Imipenem,S
NEISSERIA WEAVERI,8,0,1,0,0,7,Imipenem,S
STREPTOCOCCUS GP. B,1,0,1,0,0,0,Imipenem,S
CORYNEBACTERIUM ULCERANS,9,0,2,0,0,7,Imipenem,S
CORYNEBACTERIUM UREALYTICUM,10,1,0,0,1,8,Imipenem,Tie
AEROMONAS HYDROPHILA,2,0,1,0,0,1,Imipenem,S
CORYNEBACTERIUM AMYCOLATUM,29,0,1,0,0,28,Imipenem,S
KLEBSIELLA SP.,7,0,1,0,0,6,Imipenem,S
ENTEROBACTER LUDWIGII,10,0,3,0,0,7,Imipenem,S
STREPTOCOCCUS DYSGALACT. SS EQUISIMILIS,1,0,1,0,0,0,Imipenem,S
STREPTOCOCCUS GROUP C,1,0,1,0,0,0,Imipenem,S
BACILLUS SIMPLEX,1,0,1,0,0,0,Imipenem,S
BURKHOLDERIA CEPACIA,2,1,0,0,0,1,Imipenem,R
PSEUDOMONAS FULVA,5,0,2,0,0,3,Imipenem,S
STAPHYLOCOCCUS SCHLEIFERI COAG POSITIVE,1,0,1,0,0,0,Imipenem,S
ACTINOBACILLUS ROSSII,7,0,2,0,0,5,Imipenem,S
GRAMPOSITIVE ORGANISM,3,0,1,0,0,2,Imipenem,S
STAPHYLOCOCCUS SCHLEIFERI COAG NEG,1,0,0,0,0,1,Imipenem,Tie
BACILLUS MEGATERIUM,10,0,1,0,0,9,Imipenem,S
BACILLUS THURINGIENSIS,6,0,2,0,0,4,Imipenem,S
OCHROBACTRUM INTERMEDIUM,2,0,1,0,0,1,Imipenem,S
BERGEYELLA ZOOHELCUM,2,0,1,0,0,1,Imipenem,S
ROTHIA SP.,6,0,0,1,0,5,Imipenem,I
KLEBSIELLA VARIICOLA,16,0,2,0,0,14,Imipenem,S
CITROBACTER SEDLAKII,5,0,3,0,0,2,Imipenem,S
BACILLUS PUMILUS,5,0,1,0,0,4,Imipenem,S
EIKENELLA CORRODENS,3,0,2,0,0,1,Imipenem,S
MORAXELLA BOVOCULI,5,0,0,0,0,5,Imipenem,Tie
PSEUDOMONAS OTITIDIS,1,0,0,0,0,1,Imipenem,Tie
MANNHEIMIA VARIGENA,1,0,0,0,0,1,Imipenem,Tie
STAPHYLOCOCCUS DELPHINI,11,0,1,0,0,10,Imipenem,S
STREPTOCOCCUS MINOR,5,0,1,0,0,4,Imipenem,S
CORYNEBACTERIUM AURICANIS,2,1,0,0,0,1,Imipenem,R
CAPNOCYTOPHAGA OCHRACEA,1,0,1,0,0,0,Imipenem,S
MICROBACTERIUM PARAOXYDANS,2,0,0,2,0,0,Imipenem,I
AEROCOCCUS VIRIDANS,5,0,1,0,0,4,Imipenem,S
UNIDENTIFIED,1,0,1,0,0,0,Imipenem,S
STREPTOCOCCUS HALICHOERI,10,0,0,0,0,10,Imipenem,Tie
LACTOBACILLUS SP.,2,0,1,0,0,1,Imipenem,S
CORYNEBACTERIUM BOVIS,3,0,0,0,0,3,Imipenem,Tie
RAOULTELLA TERRIGENA,1,0,0,0,0,1,Imipenem,Tie
STAPHYLOCOCCUS SCHLEIFERI COAGULASE CULTURE NEGATIVE,1,0,0,0,0,1,Imipenem,Tie
STREPTOCOCCUS GALLOLYTICUS,8,0,0,0,0,8,Imipenem,Tie
ENTEROCOCCUS CASSELIFLAVUS,5,0,0,0,0,5,Imipenem,Tie
PROTEUS HAUSERI,17,0,0,0,0,17,Imipenem,Tie
STAPHYLOCOCCUS AUREUS,144,0,0,0,0,144,Imipenem,Tie
DELFTIA ACIDOVORANS,2,0,0,0,0,2,Imipenem,Tie
SALMONELLA SP. GROUP D,10,0,0,0,0,10,Imipenem,Tie
AVIBACTERIUM ENDOCARDITIDIS,1,0,0,0,0,1,Imipenem,Tie
PLURALIBACTER GERGOVIAE,3,0,0,0,0,3,Imipenem,Tie
KOCURIA VARIANS,1,0,0,0,0,1,Imipenem,Tie
CHRYSEOBACTERIUM GLEUM,2,0,0,0,0,2,Imipenem,Tie
AEROMONAS MEDIA,1,0,0,0,0,1,Imipenem,Tie
KOCURIA ROSEA,1,0,0,0,0,1,Imipenem,Tie
ESCHERICHIA VULNERIS,2,0,0,0,0,2,Imipenem,Tie
SALMONELLA SP. GROUP 18,3,0,0,0,0,3,Imipenem,Tie
PSEUDOMONAS ORYZIHABITANS,2,0,0,0,0,2,Imipenem,Tie
ARCANOBACTERIUM CANIS,4,0,0,0,0,4,Imipenem,Tie
STREPTOCOCCUS LUTIENSIS,1,0,0,0,0,1,Imipenem,Tie
LACTOBACILLUS SALIVARIUS,1,0,0,0,0,1,Imipenem,Tie
CORYNEBACTERIUM DIPTHERIAE,1,0,0,0,0,1,Imipenem,Tie
CANIBACTER ORIS,2,0,0,0,0,2,Imipenem,Tie
LACTOBACILLUS JOHNSONII,1,0,0,0,0,1,Imipenem,Tie
LACTOBACILLUS REUTERI,2,0,0,0,0,2,Imipenem,Tie
MORAXELLA OSLOENSIS,1,0,0,0,0,1,Imipenem,Tie
LEUCONOSTOC LACTIS,1,0,0,0,0,1,Imipenem,Tie
STREPTOCOCCUS LUTETIENSIS,2,0,0,0,0,2,Imipenem,Tie
BACILLUS SUBTILIS,1,0,0,0,0,1,Imipenem,Tie
STAPHYLOCOCCUS COAGULASE CULTURE NEGATIVE SP.,1,0,0,0,0,1,Imipenem,Tie
PAENIBACILLUS HUMICUS,1,0,0,0,0,1,Imipenem,Tie
MORAXELLA CANIS,7,0,0,0,0,7,Imipenem,Tie
CAPNOCYTOPHAGA SP.,2,0,0,0,0,2,Imipenem,Tie
BACILLUS MYCOIDES,1,0,0,0,0,1,Imipenem,Tie
MORGANELLA MORGANI,2,0,0,0,0,2,Imipenem,Tie
PEDIOCOCCUS ACIDILACTICI,1,0,0,0,0,1,Imipenem,Tie
WEISELLA SP.,2,0,0,0,0,2,Imipenem,Tie
LYSINIBACILLUS SP.,1,0,0,0,0,1,Imipenem,Tie
MICROBACTERIUM PARAOXYDAS,1,0,0,0,0,1,Imipenem,Tie
STREPTOCOCCUS SP. GP. C,1,0,0,0,0,1,Imipenem,Tie
ARCANOBACTERIUM SP.,11,0,0,0,0,11,Imipenem,Tie
STAPHYLOCOCCUS SCHLEIFERI-COAG CULTURE NEGATIVE,1,0,0,0,0,1,Imipenem,Tie
STAPHYLOCOCCUS SCHLEIFERI-COAG POSITIVE,1,0,0,0,0,1,Imipenem,Tie
DERMACOCCUS SP.,1,0,0,0,0,1,Imipenem,Tie
HAEMOPHILUS HAEMOGLOBINOPHILIS,1,0,0,0,0,1,Imipenem,Tie
ENTEROCOCCUS MUNDTII,2,0,0,0,0,2,Imipenem,Tie
STREPTOCOCCUS MITIS,2,0,0,0,0,2,Imipenem,Tie
KOCURIA SP.,1,0,0,0,0,1,Imipenem,Tie
LELLIOTTIA AMNIGENA,1,0,0,0,0,1,Imipenem,Tie
ACINETOBACTERER JUNII,2,0,0,0,0,2,Imipenem,Tie
KOCURIA KRISTINAE,1,0,0,0,0,1,Imipenem,Tie
MACROCOCCUS CASEOLYTICUS,1,0,0,0,0,1,Imipenem,Tie
PASTEURELLA MAIRII,1,0,0,0,0,1,Imipenem,Tie
STAPHYLOCOCCUS COAG CULTURE NEGATIVE,1,0,0,0,0,1,Imipenem,Tie
SERRATIA FONTICOLA,2,0,0,0,0,2,Imipenem,Tie
LEUCONOSTOC SP.,1,0,0,0,0,1,Imipenem,Tie
LYSINIBACILLUS FUSIFORMIS,1,0,0,0,0,1,Imipenem,Tie
GRAMNEGATIVE COCCI,1,0,0,0,0,1,Imipenem,Tie
BREVIBACTERIUM SP.,1,0,0,0,0,1,Imipenem,Tie
STREPTOCOCCUS ANGINOSUS,1,0,0,0,0,1,Imipenem,Tie
STREPTOCOCCUS SUIS 2/4/33/34,1,0,0,0,0,1,Imipenem,Tie
PAENIBACILLUS SP.,7,0,0,0,0,7,Imipenem,Tie
GRAMPOSITIVE BRANCHING ROD,2,0,0,0,0,2,Imipenem,Tie
CHRYSEOBACTERIUM SP.,2,0,0,0,0,2,Imipenem,Tie
ACTINOBACILLUS EQUULI,9,0,0,0,0,9,Imipenem,Tie
STAPHYLOCOCCUS HOMINIS SS HOMINIS,1,0,0,0,0,1,Imipenem,Tie
TRUEPERELLA BERNARDIAE,3,0,0,0,0,3,Imipenem,Tie
CITROBACTER FARMERI,2,0,0,0,0,2,Imipenem,Tie
ENTEROCOCCUS CANINESTINI,1,0,0,0,0,1,Imipenem,Tie
STREPTOCOCCUS DYS. SS DYSGALACTIAE,11,0,0,0,0,11,Imipenem,Tie
SALMONELLA GROUP - C1,1,0,0,0,0,1,Imipenem,Tie
VIBRIO CHOLERAE,1,0,0,0,0,1,Imipenem,Tie
GEMELLA CUNICULIS,1,0,0,0,0,1,Imipenem,Tie
SALMONELLA GROUP - C2,1,0,0,0,0,1,Imipenem,Tie
PSEUDOMONAS LUTEOLA,1,0,0,0,0,1,Imipenem,Tie
STENOTROPHOMONAS SP.,1,0,0,0,0,1,Imipenem,Tie
STREPTOCOCCUS SUIS,1,0,0,0,0,1,Imipenem,Tie
STREPTOCOCCUS SUIS 16,1,0,0,0,0,1,Imipenem,Tie
AEROMONAS HYDROPHILA/CAVIAE,2,0,0,0,0,2,Imipenem,Tie
PROVIDENCIA ALCALIFACIENS,1,0,0,0,0,1,Imipenem,Tie
STAPHYLOCOCCUS FELIS,32,0,0,0,0,32,Imipenem,Tie
YOKENELLA REGENSBURGEI,1,0,0,0,0,1,Imipenem,Tie
KLEBSIELLA AEROGENES,2,0,0,0,0,2,Imipenem,Tie
GRANULICATELLA ADIACENS,1,0,0,0,0,1,Imipenem,Tie
CORYNEBACTERIUM XEROSIS,1,0,0,0,0,1,Imipenem,Tie
CORYNEBACTERIUM PROPINQUUM,1,0,0,0,0,1,Imipenem,Tie
KLEBSIELLA (ENTEROBACTER) AEROGENES,1,0,0,0,0,1,Imipenem,Tie
CAPNOCYTOPHAGA CYNODEGMI,2,0,0,0,0,2,Imipenem,Tie
ALCALIGENES SP.,1,0,0,0,0,1,Imipenem,Tie
ACTINOBACILLUS PLEUROPNEUMONIAE,3,0,0,0,0,3,Imipenem,Tie
ACTINOBACILLUS EQUULI SS HAEMOLYTICUS,1,0,0,0,0,1,Imipenem,Tie
ENTEROBACTER HORMAECHEI,38,0,0,0,0,38,Imipenem,Tie
ACTINOMYCES HYOVAGINALIS,6,0,0,0,0,6,Imipenem,Tie
AEROMONAS HYDROPHILA COMPLEX,2,0,0,0,0,2,Imipenem,Tie
STREPTOCOCCUS SUIS XXXIV,2,0,0,0,0,2,Imipenem,Tie
HAEMOPHILUS HAEMOLYTICUS,1,0,0,0,0,1,Imipenem,Tie
AEROMONAS HYDROPHILA /CAVIAE,1,0,0,0,0,1,Imipenem,Tie
ESCHERICHIA COLI - HAEMOLYTIC,1,0,0,0,0,1,Imipenem,Tie
KOSAKONIA COWANII,1,0,0,0,0,1,Imipenem,Tie
TRUEPERELLA ABORTISUIS,4,0,0,0,0,4,Imipenem,Tie
ERYSIPELOTHRIX RHUSIOPATHIAE,1,0,0,0,0,1,Imipenem,Tie
OCHROBACTRUM ANTHROPI,1,0,0,0,0,1,Imipenem,Tie
CURTOBACTERIUM SP.,1,0,0,0,0,1,Imipenem,Tie
MORAXELLAPLURANIMA,2,0,0,0,0,2,Imipenem,Tie
STREPTOCOCCUS SUIS XIII,1,0,0,0,0,1,Imipenem,Tie
STAPHYLOCOCCUS COAGULASE-CULTURE NEGATIVE,33,0,0,0,0,33,Imipenem,Tie
NEISSERIA MUCOSA,1,0,0,0,0,1,Imipenem,Tie
TRUEPERELLA PYOGENES (ACTINOMYCES/CORYNEBACTERIUM),37,0,0,0,0,37,Imipenem,Tie
STREPTOCOCCUS EQUI SPP ZOOEPIDEMICUS,95,0,0,0,0,95,Imipenem,Tie
GALLIBACTERIUM ANATIS (PASTEURELLA),1,0,0,0,0,1,Imipenem,Tie
MORAXELLA OVIS,2,0,0,0,0,2,Imipenem,Tie
KLEBSIELLA AEROGENES (ENTEROBACTER),23,0,0,0,0,23,Imipenem,Tie
STREPTOCOCCUS SP. ALPHA HEMOLYTIC,15,0,0,0,0,15,Imipenem,Tie
STREPTOCOCCUS PORCINUS,4,0,0,0,0,4,Imipenem,Tie
MORGANELLA MORGANII (PROTEUS),3,0,0,0,0,3,Imipenem,Tie
MORGANELLA MORGANII,1,0,0,0,0,1,Imipenem,Tie
STREPTOCOCCUS EQUI,5,0,0,0,0,5,Imipenem,Tie
ENTEROCOCUS FAECALIS,1,0,0,0,0,1,Imipenem,Tie
NOCARDIA SP,1,0,0,0,0,1,Imipenem,Tie
SALMONELLA SP. GROUP C1/C2,1,0,0,0,0,1,Imipenem,Tie
SALMONELLA SP. GROUP E1/E4,1,0,0,0,0,1,Imipenem,Tie
CORYNEBACTERIUM RESISTENS,2,0,0,0,0,2,Imipenem,Tie
SERRATIA SP.,1,0,0,0,0,1,Imipenem,Tie
ENTEROBACTER BUGANDENSIS,7,0,0,0,0,7,Imipenem,Tie
SALMONELLA SP. E1,1,0,0,0,0,1,Imipenem,Tie
LACTOBACILLUS MURINUS,1,0,0,0,0,1,Imipenem,Tie
BORDETELLA HINZII,1,0,0,0,0,1,Imipenem,Tie
RHODOCOCCUS SP.,1,0,0,0,0,1,Imipenem,Tie
BURKHOLDERIA MULTIVORANS,1,0,0,0,0,1,Imipenem,Tie
SALMONELLA GROUP C1,1,0,0,0,0,1,Imipenem,Tie
ACTINOBACILLUS EQUULI SPP EQUULI,2,0,0,0,0,2,Imipenem,Tie
ENTEROBACTER KOBEI,1,0,0,0,0,1,Imipenem,Tie
STENOTROPHOMONAS MALTOPHILIA (XANTHOMONAS),3,0,0,0,0,3,Imipenem,Tie
PANTOEA AGGLOMERANS (ENTEROBACTER),1,0,0,0,0,1,Imipenem,Tie
BUCHANANELLA HORDEOVULNERIS,2,0,0,0,0,2,Imipenem,Tie
ACTINOMYCES BOWDENII,3,0,0,0,0,3,Imipenem,Tie
ARCANOBACTERIUM HAEMOLYTICUM,1,0,0,0,0,1,Imipenem,Tie
PSEUDOMONAS ALCALIPHILA,1,0,0,0,0,1,Imipenem,Tie
SCHAALIA (ACTINOMYCES) CANIS,1,0,0,0,0,1,Imipenem,Tie
STREPTOCOCCUS DIDELPHIS,1,0,0,0,0,1,Imipenem,Tie
STAPHYLOCOCCUS SIMULANS,2,0,0,0,0,2,Imipenem,Tie
SCHAALIA HYOVAGINALIS,6,0,0,0,0,6,Imipenem,Tie
SALMONELLA SP.GROUP C,1,0,0,0,0,1,Imipenem,Tie
RHODOCOCCUS HOAGII (RHODOCOCCUS EQUI),2,0,0,0,0,2,Imipenem,Tie
SALMONELLA C1,1,0,0,0,0,1,Imipenem,Tie
SALMONELLA 18,1,0,0,0,0,1,Imipenem,Tie
OLIGELLA URETHRALIS,1,0,0,0,0,1,Imipenem,Tie
BORDETELLA TREMATUM,1,0,0,0,0,1,Imipenem,Tie
CORYNEBACTERIUM MASTITIDIS,1,0,0,0,0,1,Imipenem,Tie
AEROMONAS SALMONICIDA,2,0,0,0,0,2,Imipenem,Tie
LACTOCOCCUS LACTIS,1,0,0,0,0,1,Imipenem,Tie
PROVIDENCIA RETTGERI (PROTEUS),3,0,0,0,0,3,Imipenem,Tie
SCHAALIA CANIS,5,0,0,0,0,5,Imipenem,Tie
SCHAALIA (ACTINOMYCES) HYOVAGINALIS,1,0,0,0,0,1,Imipenem,Tie
FLAVOBACTERIUM SP.,1,0,0,0,0,1,Imipenem,Tie
HISTOPHILUS SOMNI (HAEMOPHILUS SOMNUS),1,0,0,0,0,1,Imipenem,Tie
PANTOEA EUCRINA,1,0,0,0,0,1,Imipenem,Tie
ACTINOBACILLUS LIGNIERESII,1,0,0,0,0,1,Imipenem,Tie
CORYNEBACTERIUM DIPHTHERIAE,1,0,0,0,0,1,Imipenem,Tie
STAPHYLOCOCCUS SP. COAGULASE-CULTURE NEGATIVE,1,0,0,0,0,1,Imipenem,Tie
PSEUDOMONAS OLEOVORANS,1,0,0,0,0,1,Imipenem,Tie
CORYNEBACTERIUM KUTSCHERI,2,0,0,0,0,2,Imipenem,Tie
ESCHERICHIA SP.,1,0,0,0,0,1,Imipenem,Tie
,2,0,0,0,0,2,Imipenem,Tie
CORYNEBACTERIUM SP.,341,4,8,1,232,96,Marbofloxacin,NI
CULTURE NEGATIVE,39939,0,0,0,0,0,Marbofloxacin,Tie
GRAMNEGATIVE ROD,66,0,5,0,31,30,Marbofloxacin,NI
ACINETOBACTER BAUMANNII COMPLEX,6,0,0,0,2,4,Marbofloxacin,NI
PROTEUS MIRABILIS,654,21,578,10,5,40,Marbofloxacin,S
STAPHYLOCOCCUS EPIDERMIDIS,23,1,16,1,1,4,Marbofloxacin,S
ENTEROCOCCUS SP.,264,1,3,0,227,33,Marbofloxacin,NI
PSEUDOMONAS AERUGINOSA,564,4,27,2,389,142,Marbofloxacin,NI
ESCHERICHIA COLI,2826,412,2095,15,11,293,Marbofloxacin,S
MORGANELLA MORGANI SS MORGANII,25,2,11,2,2,8,Marbofloxacin,S
PROTEUS SP.,4,0,3,0,0,1,Marbofloxacin,S
ALCALIGENES FAECALIS SS FAECALIS,4,0,0,0,1,3,Marbofloxacin,NI
STREPTOCOCCUS ALPHA HEMOLYTIC,335,40,62,82,31,120,Marbofloxacin,I
BACILLUS LENTUS,1,0,0,0,1,0,Marbofloxacin,NI
ENTEROBACTER CLOACAE COMPLEX,20,4,13,0,0,3,Marbofloxacin,S
PASTEURELLA MULTOCIDA,160,0,36,2,89,33,Marbofloxacin,NI
PROTEUS VULGARIS,35,1,13,0,0,21,Marbofloxacin,S
STAPHYLOCOCCUS PSEUDINTERMEDIUS,2157,632,1348,16,6,155,Marbofloxacin,S
STREPTOCOCCUS BETA GROUP - G,5,0,3,1,0,1,Marbofloxacin,S
KLEBSIELLA PNEUMONIAE,174,20,107,1,0,46,Marbofloxacin,S
LECLERCIA ADECARBOXYLATA,8,0,4,0,1,3,Marbofloxacin,S
BACILLUS SP.,130,1,4,0,96,29,Marbofloxacin,NI
ESCHERICHIA COLI HAEMOLYTIC,25,0,23,0,0,2,Marbofloxacin,S
AEROCOCCUS SP.,13,0,0,0,12,1,Marbofloxacin,NI
STREPTOCOCCUS EQUI SS ZOOEPIDEMICUS,162,0,6,1,1,154,Marbofloxacin,S
KLEBSIELLA OXYTOCA,72,0,47,3,6,16,Marbofloxacin,S
PSEUDOMONAS PUTIDA,5,0,0,0,5,0,Marbofloxacin,NI
STAPHYLOCOCCUS AUR. SS AUREUS,134,19,74,2,0,39,Marbofloxacin,S
PSEUDOMONAS MENDOCINA,4,0,0,0,2,2,Marbofloxacin,NI
MICROCOCCUS SP.,17,0,0,1,13,3,Marbofloxacin,NI
CITROBACTER KOSERI,18,0,13,0,3,2,Marbofloxacin,S
STAPHYLOCOCCUS SP.,13,3,8,0,0,2,Marbofloxacin,S
MORGANELLA MORGANI SSP SIBONII,1,0,1,0,0,0,Marbofloxacin,S
ACTINOBACILLUS SUIS,22,0,0,0,0,22,Marbofloxacin,Tie
ACTINOBACILLUS EQUULI SS EQUULI,21,0,0,0,0,21,Marbofloxacin,Tie
STREPTOCOCCUS CANIS,777,31,379,219,53,95,Marbofloxacin,S
PASTEURELLA CANIS,120,1,1,0,110,8,Marbofloxacin,NI
ESCHERICHIA COLI - LACTOSE CULTURE NEGATIVE,1,0,1,0,0,0,Marbofloxacin,S
PSEUDOMONAS STUTZERI,5,0,0,0,4,1,Marbofloxacin,NI
PASTEURELLA PNEUMOTROPICA,9,0,0,0,7,2,Marbofloxacin,NI
